time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.363632672e-08,1.14434951031e-07,10.0034126268,0.000123534548268,6.28297062095,0.0,1.30583509989e-05,1.05417684785e-05,0.113748913046,0.00588810340455,-0.0119185196802,0.0,442.5430702058773,441.5611850921302,440.1840892544136,440.6709519413132
0.12000000000000001,8.04775035165e-06,5.09686702297e-06,10.0141246712,0.000734505765871,6.28253487678,0.0,0.000311876228731,0.000208049685641,0.243299723601,0.0176245289349,0.0007191167097,0.0,446.2903304225029,447.32055965261105,445.1168443152148,446.075994448717
0.18,3.93091943838e-05,3.62613331989e-05,10.0310748801,0.00187067145179,6.28287363455,0.0,0.000709834558355,0.000939244233711,0.321687727366,0.0214378487453,0.0140247210139,0.0,429.6085009289097,430.7349474080857,429.7936695394248,430.11665242431064
0.23999999999999996,8.49531878209e-05,0.000134898545559,10.0528040057,0.00301967149699,0.000620045509126,0.0,0.000723536448641,0.00246981743363,0.402590580375,0.014129603794,0.0183783739983,0.0,430.85982256391793,431.227592852234,431.10969139837033,430.49180666540445
0.3,0.000110148207417,0.000353592698511,10.0815227972,0.0037282539972,0.00152083867057,0.0,5.30716705177e-06,0.00490567189824,0.554640014829,0.00671138521099,0.00725144996308,0.0,453.3331054635272,452.43817921796335,454.02925027580136,453.4336688118262
0.36000000000000004,7.81762383548e-05,0.000724606118622,10.117208222,0.00447390544366,0.00212609494432,0.0,-0.00112303334731,0.0075200766431,0.634832212764,0.0219296799432,0.0152295119844,0.0,430.95701468887603,431.6306207580102,429.8736532705497,431.16100775529935
0.4200000000000001,-4.16001414586e-05,0.00128359233572,10.1605084535,0.00560197297512,0.00287367429248,0.0,-0.00296380965435,0.0112512318078,0.80840087975,0.0116667718983,0.00624776456352,0.0,460.9643445538568,460.2540144514918,459.9838474448992,459.1704506363092
0.48000000000000015,-0.000276895794447,0.00207005009987,10.2107882987,0.00591944301764,0.00352212041813,0.0,-0.00492957698754,0.0150171456179,0.867550097042,-0.0122126725397,0.0186458204167,0.0,424.6830537002107,425.7449114964734,424.6619063041129,422.608838317682
0.5400000000000001,-0.000655249369499,0.00309895302541,10.2672688763,0.00532726353147,0.0048442731135,0.0,-0.0078156356085,0.0192070783198,1.01501603113,-0.00555318215173,0.0280745225225,0.0,451.1458969747788,451.906467785106,453.19125618062117,453.72627272357016
0.6000000000000002,-0.00123327419412,0.00436286550646,10.3316802914,0.0050314435088,0.00621088094181,0.0,-0.0116138229952,0.0228899018292,1.13192160659,-0.00371280268166,0.00922027595613,0.0,443.66747359509884,442.116985810243,443.60286911191673,443.7540377762405
0.6600000000000003,-0.00204936149196,0.00583047877773,10.4008162615,0.00483992739996,0.00633395251441,0.0,-0.0156264808434,0.0260110205873,1.17256951427,-0.00216997432437,-0.0188575571262,0.0,420.34869681733284,417.9086984475495,418.72256122025965,418.8568061114857
0.7200000000000003,-0.00311718233792,0.00749372381513,10.4747851239,0.00486920899414,0.00511298501797,0.0,-0.0198434521344,0.0294250316515,1.2929313004,0.00533505564167,-0.0235136415743,0.0,444.2648082947536,443.88293546569105,445.0169019518008,445.63072805882047
0.7800000000000004,-0.00443924909591,0.00939372729551,10.5617916032,0.00579132860577,0.0037184418501,0.0,-0.0240361215368,0.0339964057822,1.60689827313,0.0302588840161,-0.0227053767541,0.0,502.2441435682254,502.3027745201377,500.47763853372663,502.28813289925995
0.8400000000000004,-0.00596257204955,0.0115754069815,10.6637253364,0.00735710151455,0.00291796019764,0.0,-0.0266219595156,0.0389198833338,1.79062246968,0.0161019733559,0.000786994721819,0.0,464.1981384352021,466.0379158475828,465.8183311165673,464.71014357091167
0.9000000000000005,-0.00761170083919,0.0140438954717,10.7712016418,0.00824614161964,0.00258420975195,0.0,-0.0283405981208,0.043444199361,1.79191830924,0.0121157613034,-0.0229620037356,0.0,408.70025318605536,406.57821896729456,407.8290232906269,407.4727627149926
0.9600000000000005,-0.00936225584501,0.0168302577328,10.8825153403,0.00883751671098,0.00132962324917,0.0,-0.0298717181956,0.0495030590579,1.91833433727,0.00490375918961,-0.0170927537765,0.0,448.0548124581163,448.53170325277273,448.6464050337551,448.0603812133031
1.0200000000000005,-0.0111761192833,0.0199684650087,10.9988667155,0.00886180741837,6.28312794843,0.0,-0.0304815525714,0.0551198947263,1.95997415326,-0.0105955761478,-0.0392545730216,0.0,423.330197401851,421.4188430416865,421.6024016048615,420.26119049310176
1.0800000000000005,-0.0129946848638,0.0234593832059,11.1198347677,0.00796138054826,6.28077951466,0.0,-0.0298933669529,0.0611644942486,2.07209826678,-0.025741332575,-0.0389135700671,0.0,445.0248575530561,445.05200495724296,444.500734080734,443.25795302742387
1.1400000000000006,-0.0147252494131,0.0272994924136,11.2487024487,0.00611022921617,6.27829753753,0.0,-0.027529700968,0.0666538189364,2.22321039566,-0.0437860743753,-0.0467868360424,0.0,456.0453382656913,455.4151780680818,458.82254429745564,457.38741493903825
1.2000000000000006,-0.0162847133369,0.0313947907153,11.3815453121,0.00344796928867,6.27501938378,0.0,-0.0242024736818,0.0696326678463,2.20492074071,-0.0455669086088,-0.0789402083698,0.0,404.26121521407316,401.35083640682245,402.610828497342,402.4483303728122
1.2600000000000007,-0.0175397814077,0.035636806284,11.5180129169,0.000705561677478,6.27051542908,0.0,-0.0171390128953,0.0714718629744,2.34372193381,-0.0459879529687,-0.0682701799917,0.0,451.90989958510124,452.76475387361336,455.0352983479564,455.00042430160676
